subclass,label,Acteur_Social_IEML,Code_IEML,Score_Similarite,Validation_Requise
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q420,biologie,écologiste,l.a.-f.a.-f.o.-',0.48,False
Q864601,biomédecine,médecin,n.a.-f.a.-f.o.-',0.83,False
Q123028,pédiatrie,médiateur,m.a.-s.a.-f.o.-',0.54,False
Q105169009,orthodox deacon,agent de,d.a.-l.a.-f.o.-',0.14,True
Q103958625,professeur de cuivre,investisseur,t.a.-d.a.-f.o.-',0.32,True
Q12377274,trompettiste,activiste,b.a.-k.a.-f.o.-',0.31,True
Q170790,mathématicien ou mathématicienne,informaticien,s.a.-t.a.-f.o.-',0.62,False
Q102323692,applied scientist,client,n.a.-d.a.-f.o.-',0.34,True
Q611644,évêque catholique,relation publique,l.a.-b.a.-f.o.-',0.4,False
Q104049627,western bishop,investisseur,t.a.-d.a.-f.o.-',0.15,True
Q105200154,clerc catholique romain,relation publique,l.a.-b.a.-f.o.-',0.35,True
Q7361618,Roman Catholic,policier,n.a.-l.a.-f.o.-',0.24,True
Q1371796,armurier,ouvrier,m.a.-l.a.-f.o.-',0.38,True
Q102040941,évêque protestant,consultant,f.a.-s.a.-f.o.-',0.27,True
Q6337803,neurobiologiste,écologiste,l.a.-f.a.-f.o.-',0.74,False
Q5157338,scientifique numéricien,musicien,f.a.-b.a.-f.o.-',0.39,True
Q15839299,métier du théâtre,ancêtre,t.a.-m.a.-f.o.-',0.26,True
Q482980,auteur ou autrice,auteur,b.a.-b.a.-f.o.-',0.92,False
Q1028181,peintre,ancêtre,t.a.-m.a.-f.o.-',0.27,True
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q2328828,stagehand,agent de,d.a.-l.a.-f.o.-',0.25,True
Q15839299,métier du théâtre,ancêtre,t.a.-m.a.-f.o.-',0.26,True
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q1250916,guerrier,guerrier,l.a.-l.a.-f.o.-',1.0,False
Q3400985,universitaire,publicitaire,b.a.-d.a.-f.o.-',0.56,False
Q5428874,personnel académique,relation publique,l.a.-b.a.-f.o.-',0.31,True
Q5,être humain,ancêtre,t.a.-m.a.-f.o.-',0.52,False
Q2628882,statut légal,législateur,t.a.-n.a.-f.o.-',0.28,True
Q635734,archiviste,archiviste,t.a.-l.a.-f.o.-',1.0,False
Q14915627,musicologue,musicien,f.a.-b.a.-f.o.-',0.45,False
Q4773904,anthropologue,psychologue,s.a.-f.a.-f.o.-',0.56,False
Q15253558,militant ou militante,consultant,f.a.-s.a.-f.o.-',0.24,True
Q1476215,défenseur des droits de l'Homme,défendeur,l.a.-n.a.-f.o.-',0.47,False
Q3546255,océanographe,cartographe,l.a.-t.a.-f.o.-',0.7,False
Q3546255,océanographe,cartographe,l.a.-t.a.-f.o.-',0.7,False
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q2159907,criminel ou criminelle,ouvrier,m.a.-l.a.-f.o.-',0.13,True
Q11499147,militant ou militante politique,politicien,s.a.-k.a.-f.o.-',0.38,True
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q63243029,gospel musician,musicien,f.a.-b.a.-f.o.-',0.72,False
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q3621491,archéologue,psychologue,s.a.-f.a.-f.o.-',0.5,False
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q2912172,entreprise individuelle,entrepreneur,l.a.-d.a.-f.o.-',0.58,False
Q29182,évêque,relation publique,l.a.-b.a.-f.o.-',0.27,True
Q18246606,éparque,relation publique,l.a.-b.a.-f.o.-',0.21,True
Q102385896,évêque orthodoxe oriental,client,n.a.-d.a.-f.o.-',0.21,True
Q18246606,éparque,relation publique,l.a.-b.a.-f.o.-',0.21,True
Q215536,commerçant,comptable,b.a.-t.a.-f.o.-',0.25,True
Q635734,archiviste,archiviste,t.a.-l.a.-f.o.-',1.0,False
Q82955,personnalité politique,politicien,s.a.-k.a.-f.o.-',0.51,False
Q12859263,orateur ou oratrice,médiateur,m.a.-s.a.-f.o.-',0.36,True
Q1055894,député,défendeur,l.a.-n.a.-f.o.-',0.22,True
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q1607826,éditeur ou éditrice,éditeur,t.a.-b.a.-f.o.-',0.93,False
Q4897819,rôle,bénévole,m.a.-n.a.-f.o.-',0.2,True
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q1781198,agronome,agent de,d.a.-l.a.-f.o.-',0.27,True
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q713200,artiste interprète,archiviste,t.a.-l.a.-f.o.-',0.33,True
Q3286043,mannequin de charme,agent de,d.a.-l.a.-f.o.-',0.24,True
Q852857,travailleur ou travailleuse du sexe,travailleur social,f.a.-n.a.-f.o.-',0.8,False
Q3391743,artiste visuel ou artiste visuelle,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q483501,artiste,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q3824194,harceleur,travailleur social,f.a.-n.a.-f.o.-',0.24,True
Q66305973,aide à l'enfance,enfant,d.a.-m.a.-f.o.-',0.46,False
Q901402,géographe,cartographe,l.a.-t.a.-f.o.-',0.7,False
Q36180,écrivain ou écrivaine,écologiste,l.a.-f.a.-f.o.-',0.11,True
Q974144,éducateur ou éducatrice,éditeur,t.a.-b.a.-f.o.-',0.24,True
Q108285020,Other Teaching Professional,procureur,b.a.-n.a.-f.o.-',0.2,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q11499147,militant ou militante politique,politicien,s.a.-k.a.-f.o.-',0.38,True
Q4594605,magistrat ou magistrate,écologiste,l.a.-f.a.-f.o.-',0.24,True
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q1104153,chanoine,témoin,d.a.-n.a.-f.o.-',0.26,True
Q1076502,chef ou cheffe de chœur,agent de,d.a.-l.a.-f.o.-',0.38,True
Q102392295,évêque gréco-catholique,relation publique,l.a.-b.a.-f.o.-',0.39,True
Q1638918,ordinaire,partenaire,m.a.-d.a.-f.o.-',0.5,False
Q17573152,croyant ou croyante,enfant,d.a.-m.a.-f.o.-',0.24,True
Q2306091,sociologue,psychologue,s.a.-f.a.-f.o.-',0.52,False
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q1281618,sculpteur ou sculptrice,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.25,True
Q16727193,scientifique de l'esprit,agent de,d.a.-l.a.-f.o.-',0.26,True
Q2419397,thérapeute,auteur,b.a.-b.a.-f.o.-',0.2,True
Q39631,médecin,médecin,n.a.-f.a.-f.o.-',1.0,False
Q11974939,professionnel ou professionnelle de la santé,procureur,b.a.-n.a.-f.o.-',0.21,True
Q381160,expert,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q128124,ingénieur du son,inventeur,d.a.-d.a.-f.o.-',0.16,True
Q378622,pilote,philosophe,s.a.-s.a.-f.o.-',0.16,True
Q2095549,aviateur ou aviatrice,médiateur,m.a.-s.a.-f.o.-',0.45,False
Q13235160,producteur,producteur,d.a.-b.a.-f.o.-',1.0,False
Q486972,localité,avocat,n.a.-t.a.-f.o.-',0.15,True
Q2500638,créateur ou créatrice,médiateur,m.a.-s.a.-f.o.-',0.25,True
Q1278335,instrumentiste,activiste,b.a.-k.a.-f.o.-',0.25,True
Q40348,avocat ou avocate,avocat,n.a.-t.a.-f.o.-',0.95,False
Q11900058,explorateur ou exploratrice,médiateur,m.a.-s.a.-f.o.-',0.25,True
Q15839299,métier du théâtre,ancêtre,t.a.-m.a.-f.o.-',0.26,True
Q1650915,chercheur ou chercheuse,archiviste,t.a.-l.a.-f.o.-',0.17,True
Q152355,cordonnier,ouvrier,m.a.-l.a.-f.o.-',0.2,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q27943370,personnalité du monde de la mode,agent de,d.a.-l.a.-f.o.-',0.29,True
Q16402902,maroquinier,banquier,d.a.-t.a.-f.o.-',0.3,True
Q108290642,shoemakers and related workers,relation publique,l.a.-b.a.-f.o.-',0.36,True
Q17176618,contrebandier,consultant,f.a.-s.a.-f.o.-',0.19,True
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q5352191,technicien ou technicienne,technicien,f.a.-d.a.-f.o.-',0.99,False
Q42973,architecte,archiviste,t.a.-l.a.-f.o.-',0.53,False
Q14290559,guide,guide spirituel,n.a.-n.a.-f.o.-',0.57,False
Q169470,physicien ou physicienne,musicien,f.a.-b.a.-f.o.-',0.62,False
Q16063546,historien ou historienne des sciences,musicien,f.a.-b.a.-f.o.-',0.21,True
Q17486338,historien ou historienne des technologies,technicien,f.a.-d.a.-f.o.-',0.43,False
Q250867,prêtre catholique,relation publique,l.a.-b.a.-f.o.-',0.32,True
Q104050279,prêtre oriental,ancêtre,t.a.-m.a.-f.o.-',0.4,False
Q117942801,Eastern Catholic,policier,n.a.-l.a.-f.o.-',0.27,True
Q108290507,building caretakers,cartographe,l.a.-t.a.-f.o.-',0.28,True
Q41583,entraîneur sportif,entrepreneur,l.a.-d.a.-f.o.-',0.4,False
Q11499147,militant ou militante politique,politicien,s.a.-k.a.-f.o.-',0.38,True
Q104080200,extrémiste,activiste,b.a.-k.a.-f.o.-',0.42,False
Q12049274,détaillant,secrétaire,k.a.-t.a.-f.o.-',0.2,True
Q131524,entrepreneur ou entrepreneuse,entrepreneur,l.a.-d.a.-f.o.-',0.98,False
Q5322166,designer,agent de,d.a.-l.a.-f.o.-',0.18,True
Q864835,biotechnologiste,écologiste,l.a.-f.a.-f.o.-',0.66,False
Q3140857,horticulteur,cultivateur / éleveur,f.a.-f.a.-f.o.-',0.26,True
Q2374149,botaniste,activiste,b.a.-k.a.-f.o.-',0.33,True
Q57735705,personnalité liée au droit,journaliste,n.a.-b.a.-f.o.-',0.19,True
Q108800680,media executive,mere,f.a.-m.a.-f.o.-',0.18,True
Q96050759,personne de la presse écrite,agent de,d.a.-l.a.-f.o.-',0.24,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q47064,militaire,publicitaire,b.a.-d.a.-f.o.-',0.47,False
Q1414443,cinéaste,activiste,b.a.-k.a.-f.o.-',0.2,True
Q455595,amateur,réformateur,n.a.-k.a.-f.o.-',0.4,False
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q384593,policier ou policière,policier,n.a.-l.a.-f.o.-',0.93,False
Q201788,historien ou historienne,ouvrier,m.a.-l.a.-f.o.-',0.18,True
Q483501,artiste,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q109459317,créateur ou créatrice de contenu,agent de,d.a.-l.a.-f.o.-',0.19,True
Q111263847,créateur ou créatrice numérique,relation publique,l.a.-b.a.-f.o.-',0.25,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q29017403,rockeur,procureur,b.a.-n.a.-f.o.-',0.29,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q104224753,dansband musician,musicien,f.a.-b.a.-f.o.-',0.69,False
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q104224860,disco musician,musicien,f.a.-b.a.-f.o.-',0.74,False
Q255274,col blanc,ancêtre,t.a.-m.a.-f.o.-',0.14,True
Q116586732,photographe officiel,officier,l.a.-k.a.-f.o.-',0.56,False
Q215793,maître de chapelle,agent de,d.a.-l.a.-f.o.-',0.27,True
Q47064,militaire,publicitaire,b.a.-d.a.-f.o.-',0.47,False
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q974144,éducateur ou éducatrice,éditeur,t.a.-b.a.-f.o.-',0.24,True
Q212238,fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',1.0,False
Q15980158,auteur ou autrice de non-fiction,auteur,b.a.-b.a.-f.o.-',0.72,False
Q108290372,librarians and related information professionals,informaticien,s.a.-t.a.-f.o.-',0.51,False
Q16727193,scientifique de l'esprit,agent de,d.a.-l.a.-f.o.-',0.26,True
Q15977927,professeur d'art,investisseur,t.a.-d.a.-f.o.-',0.37,True
Q2251335,instituteur ou institutrice,inspecteur,d.a.-k.a.-f.o.-',0.31,True
Q5758653,enseignant ou enseignante du secondaire,enseignant,d.a.-f.a.-f.o.-',0.91,False
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q1914636,activité,activiste,b.a.-k.a.-f.o.-',0.74,False
Q1851760,victime,activiste,b.a.-k.a.-f.o.-',0.21,True
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q12737077,activité,activiste,b.a.-k.a.-f.o.-',0.74,False
Q2588761,travailleur qualifié ou travailleuse qualifiée,travailleur social,f.a.-n.a.-f.o.-',0.78,False
Q1225716,ornithologue,psychologue,s.a.-f.a.-f.o.-',0.7,False
Q1234713,théologien ou théologienne,écologiste,l.a.-f.a.-f.o.-',0.44,False
Q193364,vicaire,notaire,m.a.-t.a.-f.o.-',0.48,False
Q250867,prêtre catholique,relation publique,l.a.-b.a.-f.o.-',0.32,True
Q112074151,head of a diocese,officier,l.a.-k.a.-f.o.-',0.17,True
Q497240,maître de cérémonie,agent de,d.a.-l.a.-f.o.-',0.29,True
Q15253558,militant ou militante,consultant,f.a.-s.a.-f.o.-',0.24,True
Q15253558,militant ou militante,consultant,f.a.-s.a.-f.o.-',0.24,True
Q2643890,vocaliste,journaliste,n.a.-b.a.-f.o.-',0.5,False
Q1371914,soliste,journaliste,n.a.-b.a.-f.o.-',0.44,False
Q61045693,frontman,manager,l.a.-s.a.-f.o.-',0.15,True
Q15253558,militant ou militante,consultant,f.a.-s.a.-f.o.-',0.24,True
Q477406,régent ou régente,agent de,d.a.-l.a.-f.o.-',0.45,False
Q702269,professionnel ou professionnelle,procureur,b.a.-n.a.-f.o.-',0.22,True
Q109588238,fluid mechanist,mere,f.a.-m.a.-f.o.-',0.16,True
Q9200127,membre,mere,f.a.-m.a.-f.o.-',0.4,False
Q2054507,commandant,aidant,m.a.-f.a.-f.o.-',0.4,False
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q112598603,data professional,procureur,b.a.-n.a.-f.o.-',0.22,True
Q1028181,peintre,ancêtre,t.a.-m.a.-f.o.-',0.27,True
Q22809315,agrochimiste,archiviste,t.a.-l.a.-f.o.-',0.36,True
Q16335312,géochimiste,archiviste,t.a.-l.a.-f.o.-',0.43,False
Q12370538,scientifique des sols,relation publique,l.a.-b.a.-f.o.-',0.28,True
Q1053745,officier supérieur,officier,l.a.-k.a.-f.o.-',0.96,False
Q28640,profession,procureur,b.a.-n.a.-f.o.-',0.24,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q16324756,service worker,secrétaire,k.a.-t.a.-f.o.-',0.15,True
Q974144,éducateur ou éducatrice,éditeur,t.a.-b.a.-f.o.-',0.24,True
Q101445634,professeur de science,investisseur,t.a.-d.a.-f.o.-',0.32,True
Q9397505,confucianiste,activiste,b.a.-k.a.-f.o.-',0.27,True
Q39631,médecin,médecin,n.a.-f.a.-f.o.-',1.0,False
Q765778,organiste,activiste,b.a.-k.a.-f.o.-',0.42,False
Q355493,musicien d'église,musicien,f.a.-b.a.-f.o.-',0.97,False
Q718768,reine douairière,père,n.a.-m.a.-f.o.-',0.36,True
Q16511993,reine,relation publique,l.a.-b.a.-f.o.-',0.16,True
Q2986228,commentateur sportif,spectateur,k.a.-b.a.-f.o.-',0.36,True
Q1955150,fabricant d'instruments de musique,musicien,f.a.-b.a.-f.o.-',0.32,True
Q486839,parlementaire,notaire,m.a.-t.a.-f.o.-',0.44,False
Q288728,peintre en bâtiment,entrepreneur,l.a.-d.a.-f.o.-',0.25,True
Q1294787,artisan,archiviste,t.a.-l.a.-f.o.-',0.12,True
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q104824316,creative writing teacher,politicien,s.a.-k.a.-f.o.-',0.1,True
Q104248032,writing teacher,politicien,s.a.-k.a.-f.o.-',0.12,True
Q101445634,professeur de science,investisseur,t.a.-d.a.-f.o.-',0.32,True
Q974144,éducateur ou éducatrice,éditeur,t.a.-b.a.-f.o.-',0.24,True
Q2055046,physiologiste,écologiste,l.a.-f.a.-f.o.-',0.77,False
Q350979,zoologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q215627,personne,fonctionnaire,t.a.-k.a.-f.o.-',0.18,True
Q10871364,joueur de baseball,joueur,m.a.-b.a.-f.o.-',0.85,False
Q1162163,directeur ou directrice,lecteur,b.a.-s.a.-f.o.-',0.47,False
Q212238,fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',1.0,False
Q1400881,propriété,procureur,b.a.-n.a.-f.o.-',0.35,True
Q27096235,entité géographique artificielle,cartographe,l.a.-t.a.-f.o.-',0.35,True
Q815844,méthode,agent de,d.a.-l.a.-f.o.-',0.18,True
Q7574835,special member functions,fonctionnaire,t.a.-k.a.-f.o.-',0.31,True
Q15978655,consultant ou consultante,consultant,f.a.-s.a.-f.o.-',0.98,False
Q81096,ingénieur ou ingénieure,inventeur,d.a.-d.a.-f.o.-',0.19,True
Q106392835,professeur de lycée,investisseur,t.a.-d.a.-f.o.-',0.34,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q2251335,instituteur ou institutrice,inspecteur,d.a.-k.a.-f.o.-',0.31,True
Q901,scientifique,relation publique,l.a.-b.a.-f.o.-',0.3,True
Q11900058,explorateur ou exploratrice,médiateur,m.a.-s.a.-f.o.-',0.25,True
Q1231865,pédagogue,psychologue,s.a.-f.a.-f.o.-',0.44,False
Q1781198,agronome,agent de,d.a.-l.a.-f.o.-',0.27,True
Q2563977,direction générale,fonctionnaire,t.a.-k.a.-f.o.-',0.3,True
Q1391360,éboueur ou éboueuse,joueur,m.a.-b.a.-f.o.-',0.68,False
Q599151,haut fonctionnaire ou haute fonctionnaire,fonctionnaire,t.a.-k.a.-f.o.-',0.97,False
Q28640,profession,procureur,b.a.-n.a.-f.o.-',0.24,True
Q392651,agent de renseignement,agent de,d.a.-l.a.-f.o.-',0.71,False
Q3778211,personnalité juridique,juré,k.a.-n.a.-f.o.-',0.23,True
Q10871364,joueur de baseball,joueur,m.a.-b.a.-f.o.-',0.85,False
Q13388586,joueur de softball,joueur,m.a.-b.a.-f.o.-',0.85,False
Q4197743,joueur ou joueuse,joueur,m.a.-b.a.-f.o.-',0.95,False
Q108290347,primary school teachers,technicien,f.a.-d.a.-f.o.-',0.11,True
Q112282453,elementary school teacher,mentor,s.a.-d.a.-f.o.-',0.3,True
Q329737,boucher ou bouchère,père,n.a.-m.a.-f.o.-',0.41,False
Q3153559,interprète,inventeur,d.a.-d.a.-f.o.-',0.26,True
Q6805589,consultant en médias,consultant,f.a.-s.a.-f.o.-',0.85,False
Q381160,expert,acteurs sociaux,M:M:.a.-M:M:.a.-f.o.-',0.0,True
Q12119633,immunologiste,écologiste,l.a.-f.a.-f.o.-',0.79,False
Q3499072,chef cuisinier ou chef cuisinière,voisin,m.a.-k.a.-f.o.-',0.34,True
Q978044,cadre dirigeant ou cadre dirigeante,enfant,d.a.-m.a.-f.o.-',0.13,True
Q70901436,clergé bouddhiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q1183487,novice,notaire,m.a.-t.a.-f.o.-',0.19,True
Q105169456,diacre occidental,diplomate,k.a.-s.a.-f.o.-',0.1,True
Q105200154,clerc catholique romain,relation publique,l.a.-b.a.-f.o.-',0.35,True
Q25393460,diacre catholique,relation publique,l.a.-b.a.-f.o.-',0.36,True
Q7361618,Roman Catholic,policier,n.a.-l.a.-f.o.-',0.24,True
Q3344190,auditeur comptable,comptable,b.a.-t.a.-f.o.-',0.85,False
Q11974939,professionnel ou professionnelle de la santé,procureur,b.a.-n.a.-f.o.-',0.21,True
Q108289390,other health professionals,procureur,b.a.-n.a.-f.o.-',0.25,True
Q9200127,membre,mere,f.a.-m.a.-f.o.-',0.4,False
Q618779,distinction,fonctionnaire,t.a.-k.a.-f.o.-',0.4,False
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
