Terme_Wikidata,ID_Wikidata,Match_1_IEML,Score_1,Match_2_IEML,Score_2,Match_3_IEML,Score_3
artisan manuel,Q19101121,manager,0.2326,guide spirituel,0.171,archiviste,0.0702
blogueur ou blogueuse,Q8246794,psychologue,0.3816,joueur,0.2399,guerrier,0.0704
auteur ou autrice de non-fiction,Q15980158,auteur,0.7176,fonctionnaire,0.1634,relation publique,0.1513
biologiste moléculaire,Q15839206,écologiste,0.6741,notaire,0.1988,activiste,0.173
botaniste,Q2374149,activiste,0.3339,archiviste,0.3029,secouriste,0.3015
écologiste,Q3578589,écologiste,1.0,activiste,0.1594,archiviste,0.1446
défenseur des droits de l'Homme,Q1476215,défendeur,0.4674,agent de,0.2277,précurseur,0.14
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
prêtre anglican,Q3409375,ancêtre,0.5401,publicitaire,0.089,policier,0.0743
professionnel des musées,Q47090899,musicien,0.2272,procureur,0.1703,producteur,0.1699
photographe,Q33231,cartographe,0.7546,philosophe,0.1521,pharmacien,0.0399
chercheur ou chercheuse,Q1650915,archiviste,0.1748,ouvrier,0.1058,acteur,0.0897
anthropogéographe,Q60332470,cartographe,0.6694,philosophe,0.1221,ancêtre,0.0601
föreståndare,Q101248873,fondateur,0.1525,investisseur,0.1187,père,0.1027
chercheur ou chercheuse en sciences sociales,Q15319501,travailleur social,0.3971,acteurs sociaux,0.321,musicien,0.1212
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de science,Q101445634,investisseur,0.3156,précurseur,0.2198,agent de,0.2139
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
membre d'équipe de cinéma,Q17291399,agent de,0.2883,mere,0.169,citoyen,0.0902
aircrew member,Q373021,mere,0.1707,aidant,0.1601,mentor,0.1295
steward,Q95613235,activiste,0.1748,archiviste,0.1586,secouriste,0.1578
travailleurs du secteur aérien,Q57610536,travailleur social,0.6399,lecteur,0.2614,acteurs sociaux,0.2147
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
professeur de langues,Q30002353,investisseur,0.3257,précurseur,0.2268,agent de,0.2207
océanographe,Q3546255,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
violoniste,Q1259917,écologiste,0.4228,activiste,0.3769,archiviste,0.3419
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
violoncelliste,Q13219637,journaliste,0.4084,écologiste,0.2865,activiste,0.2554
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
altiste,Q899758,activiste,0.3067,archiviste,0.2783,secouriste,0.277
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
flûtiste,Q12902372,activiste,0.3698,archiviste,0.3355,secouriste,0.3339
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
guitariste,Q855091,secouriste,0.4118,activiste,0.2426,archiviste,0.2201
professeur ou professeure de musique,Q2675537,investisseur,0.2976,procureur,0.2124,musicien,0.2118
percussionniste,Q4351403,activiste,0.3108,archiviste,0.2819,secouriste,0.2806
fonction,Q4164871,fonctionnaire,0.671,relation publique,0.197,fondateur,0.1348
entraîneur sportif,Q41583,entrepreneur,0.4025,transporteur,0.3451,spectateur,0.0793
arbitre sportif ou arbitre sportive,Q202648,transporteur,0.3527,ancêtre,0.1699,archiviste,0.0635
commis,Q738142,comptable,0.3461,consultant,0.0991,guerrier,0.0
fonction,Q4164871,fonctionnaire,0.671,relation publique,0.197,fondateur,0.1348
directeur ou directrice,Q1162163,lecteur,0.4729,inspecteur,0.3673,acteur,0.2853
biologie,Q420,écologiste,0.4815,psychologue,0.1978,juré,0.0
biomédecine,Q864601,médecin,0.8287,médiateur,0.0587,guerrier,0.0
pédiatrie,Q123028,médiateur,0.5376,éditeur,0.0898,ouvrier,0.082
orthodox deacon,Q105169009,agent de,0.1358,consultant,0.0999,transporteur,0.0957
professeur de cuivre,Q103958625,investisseur,0.3176,précurseur,0.2212,agent de,0.2152
trompettiste,Q12377274,activiste,0.3135,archiviste,0.2844,secouriste,0.2831
mathématicien ou mathématicienne,Q170790,informaticien,0.6181,politicien,0.3695,musicien,0.2591
applied scientist,Q102323692,client,0.3427,musicien,0.1661,politicien,0.148
évêque catholique,Q611644,relation publique,0.4001,psychologue,0.1079,avocat,0.0563
western bishop,Q104049627,investisseur,0.1478,activiste,0.1064,archiviste,0.0966
clerc catholique romain,Q105200154,relation publique,0.3541,psychologue,0.0871,client,0.0703
Roman Catholic,Q7361618,policier,0.2431,avocat,0.0942,diplomate,0.077
armurier,Q1371796,ouvrier,0.3763,guerrier,0.3483,policier,0.1382
évêque protestant,Q102040941,consultant,0.2745,procureur,0.1662,producteur,0.1658
neurobiologiste,Q6337803,écologiste,0.7353,activiste,0.1886,archiviste,0.1712
scientifique numéricien,Q5157338,musicien,0.3895,politicien,0.3471,technicien,0.335
métier du théâtre,Q15839299,ancêtre,0.2579,ouvrier,0.1707,policier,0.1701
auteur ou autrice,Q482980,auteur,0.9201,acteur,0.116,lecteur,0.0955
peintre,Q1028181,ancêtre,0.2667,entrepreneur,0.2507,mere,0.0778
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
stagehand,Q2328828,agent de,0.2483,manager,0.2208,guerrier,0.0
métier du théâtre,Q15839299,ancêtre,0.2579,ouvrier,0.1707,policier,0.1701
athlète,Q2066131,hôte,0.2343,adulte,0.182,activiste,0.1553
guerrier,Q1250916,guerrier,1.0,ouvrier,0.2301,policier,0.0845
universitaire,Q3400985,publicitaire,0.5629,notaire,0.4995,secrétaire,0.397
personnel académique,Q5428874,relation publique,0.3119,acteur,0.0901,syndiqué,0.0632
être humain,Q5,ancêtre,0.519,témoin,0.0773,voisin,0.0773
statut légal,Q2628882,législateur,0.2762,spectateur,0.1008,travailleur social,0.0706
archiviste,Q635734,archiviste,1.0,activiste,0.3964,secouriste,0.1449
musicologue,Q14915627,musicien,0.4529,psychologue,0.4298,écologiste,0.2347
anthropologue,Q4773904,psychologue,0.563,écologiste,0.1399,ancêtre,0.0654
militant ou militante,Q15253558,consultant,0.2383,familier,0.2326,enfant,0.0938
défenseur des droits de l'Homme,Q1476215,défendeur,0.4674,agent de,0.2277,précurseur,0.14
océanographe,Q3546255,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
océanographe,Q3546255,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
criminel ou criminelle,Q2159907,ouvrier,0.1278,bénévole,0.0935,comptable,0.0877
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
artiste interprète,Q713200,archiviste,0.3324,activiste,0.2913,secouriste,0.263
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
gospel musician,Q63243029,musicien,0.7153,étudiant,0.0584,inspecteur,0.0492
directeur ou directrice,Q1162163,lecteur,0.4729,inspecteur,0.3673,acteur,0.2853
archéologue,Q3621491,psychologue,0.4993,archiviste,0.2991,écologiste,0.1241
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
entreprise individuelle,Q2912172,entrepreneur,0.575,inventeur,0.0596,syndiqué,0.0485
évêque,Q29182,relation publique,0.2684,psychologue,0.0919,juré,0.0
éparque,Q18246606,relation publique,0.2055,époux,0.1331,partenaire,0.0936
évêque orthodoxe oriental,Q102385896,client,0.2093,relation publique,0.1618,ouvrier,0.0749
éparque,Q18246606,relation publique,0.2055,époux,0.1331,partenaire,0.0936
commerçant,Q215536,comptable,0.2522,consultant,0.2022,enfant,0.1789
archiviste,Q635734,archiviste,1.0,activiste,0.3964,secouriste,0.1449
personnalité politique,Q82955,politicien,0.5083,policier,0.2419,relation publique,0.1787
orateur ou oratrice,Q12859263,médiateur,0.3571,fondateur,0.3538,spectateur,0.333
député,Q1055894,défendeur,0.223,guerrier,0.0,législateur,0.0
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
éditeur ou éditrice,Q1607826,éditeur,0.9304,médiateur,0.1344,acteur,0.0931
rôle,Q4897819,bénévole,0.2003,comptable,0.1879,guerrier,0.0
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
agronome,Q1781198,agent de,0.2716,guerrier,0.0,frère/socur,0.0
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
artiste interprète,Q713200,archiviste,0.3324,activiste,0.2913,secouriste,0.263
mannequin de charme,Q3286043,agent de,0.2388,manager,0.2124,pharmacien,0.1902
travailleur ou travailleuse du sexe,Q852857,travailleur social,0.7965,traducteur,0.1145,transporteur,0.0958
artiste visuel ou artiste visuelle,Q3391743,archiviste,0.3556,activiste,0.3172,secouriste,0.2301
artiste,Q483501,archiviste,0.3646,activiste,0.3108,secouriste,0.2806
harceleur,Q3824194,travailleur social,0.2399,acteur,0.0897,archiviste,0.0874
aide à l'enfance,Q66305973,enfant,0.4604,aidant,0.2279,guide spirituel,0.1328
géographe,Q901402,cartographe,0.7031,philosophe,0.1283,guerrier,0.0
écrivain ou écrivaine,Q36180,écologiste,0.1108,travailleur social,0.0853,cultivateur / éleveur,0.0847
éducateur ou éducatrice,Q974144,éditeur,0.2431,traducteur,0.1835,producteur,0.1817
Other Teaching Professional,Q108285020,procureur,0.1963,producteur,0.1958,technicien,0.0751
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
magistrat ou magistrate,Q4594605,écologiste,0.2406,manager,0.1066,législateur,0.097
fonction,Q4164871,fonctionnaire,0.671,relation publique,0.197,fondateur,0.1348
chanoine,Q1104153,témoin,0.2606,guerrier,0.0,diplomate,0.0
chef ou cheffe de chœur,Q1076502,agent de,0.3836,ouvrier,0.1246,guide spirituel,0.0699
évêque gréco-catholique,Q102392295,relation publique,0.3909,psychologue,0.1054,avocat,0.055
ordinaire,Q1638918,partenaire,0.5009,fonctionnaire,0.4316,notaire,0.367
croyant ou croyante,Q17573152,enfant,0.2356,aidant,0.2332,étudiant,0.1948
sociologue,Q2306091,psychologue,0.5177,acteurs sociaux,0.2227,travailleur social,0.1896
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
sculpteur ou sculptrice,Q1281618,cultivateur / éleveur,0.2503,acteur,0.2065,auteur,0.178
scientifique de l'esprit,Q16727193,agent de,0.2607,relation publique,0.2534,client,0.1639
thérapeute,Q2419397,auteur,0.1969,cartographe,0.1176,hôte,0.1017
médecin,Q39631,médecin,1.0,médiateur,0.146,voisin,0.0457
professionnel ou professionnelle de la santé,Q11974939,procureur,0.2055,producteur,0.205,fonctionnaire,0.1898
expert,Q381160,guerrier,0.0,traducteur,0.0,spectateur,0.0
ingénieur du son,Q128124,inventeur,0.1595,inspecteur,0.1534,innovateur,0.1497
pilote,Q378622,philosophe,0.161,hôte,0.132,adulte,0.1025
aviateur ou aviatrice,Q2095549,médiateur,0.4488,fondateur,0.1878,spectateur,0.1769
producteur,Q13235160,producteur,1.0,traducteur,0.4194,acteur,0.2505
localité,Q486972,avocat,0.1491,politicien,0.1247,journaliste,0.1118
créateur ou créatrice,Q2500638,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
instrumentiste,Q1278335,activiste,0.2515,archiviste,0.2281,secouriste,0.2271
avocat ou avocate,Q40348,avocat,0.9493,diplomate,0.0554,ouvrier,0.0341
explorateur ou exploratrice,Q11900058,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
métier du théâtre,Q15839299,ancêtre,0.2579,ouvrier,0.1707,policier,0.1701
chercheur ou chercheuse,Q1650915,archiviste,0.1748,ouvrier,0.1058,acteur,0.0897
cordonnier,Q152355,ouvrier,0.2016,policier,0.2009,officier,0.1925
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
personnalité du monde de la mode,Q27943370,agent de,0.2857,journaliste,0.1356,fonctionnaire,0.1242
maroquinier,Q16402902,banquier,0.3,ouvrier,0.1968,policier,0.1961
shoemakers and related workers,Q108290642,relation publique,0.36,législateur,0.1211,acteurs sociaux,0.0949
contrebandier,Q17176618,consultant,0.1874,banquier,0.1847,entrepreneur,0.172
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
technicien ou technicienne,Q5352191,technicien,0.9852,musicien,0.2158,politicien,0.1923
architecte,Q42973,archiviste,0.5309,lecteur,0.1686,inspecteur,0.1309
guide,Q14290559,guide spirituel,0.5733,agent de,0.0664,guerrier,0.0567
physicien ou physicienne,Q169470,musicien,0.6213,politicien,0.3222,technicien,0.3109
historien ou historienne des sciences,Q16063546,musicien,0.2146,politicien,0.1912,technicien,0.1845
historien ou historienne des technologies,Q17486338,technicien,0.43,écologiste,0.2526,ouvrier,0.1231
prêtre catholique,Q250867,relation publique,0.321,ancêtre,0.296,psychologue,0.0789
prêtre oriental,Q104050279,ancêtre,0.4031,client,0.1849,entrepreneur,0.0826
Eastern Catholic,Q117942801,policier,0.2662,avocat,0.1032,psychologue,0.074
building caretakers,Q108290507,cartographe,0.2769,acteurs sociaux,0.0928,législateur,0.0
entraîneur sportif,Q41583,entrepreneur,0.4025,transporteur,0.3451,spectateur,0.0793
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
extrémiste,Q104080200,activiste,0.4206,archiviste,0.3816,secouriste,0.3798
détaillant,Q12049274,secrétaire,0.1978,travailleur social,0.1652,enfant,0.1441
entrepreneur ou entrepreneuse,Q131524,entrepreneur,0.9808,inventeur,0.0404,ancêtre,0.0385
designer,Q5322166,agent de,0.179,infirmier / soignant,0.1351,enseignant,0.1131
biotechnologiste,Q864835,écologiste,0.6645,technicien,0.2744,activiste,0.1705
horticulteur,Q3140857,cultivateur / éleveur,0.2649,adulte,0.2571,acteur,0.1853
botaniste,Q2374149,activiste,0.3339,archiviste,0.3029,secouriste,0.3015
personnalité liée au droit,Q57735705,journaliste,0.1937,fonctionnaire,0.1774,auteur,0.103
media executive,Q108800680,mere,0.1832,mentor,0.139,médiateur,0.1276
personne de la presse écrite,Q96050759,agent de,0.2432,guide spirituel,0.0973,écologiste,0.0949
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
militaire,Q47064,publicitaire,0.465,notaire,0.4127,secrétaire,0.328
cinéaste,Q1414443,activiste,0.196,archiviste,0.1779,secouriste,0.177
amateur,Q455595,réformateur,0.4011,amant/e,0.2473,médiateur,0.2429
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
policier ou policière,Q384593,policier,0.9261,politicien,0.3633,officier,0.2039
historien ou historienne,Q201788,ouvrier,0.1787,musicien,0.1431,mentor,0.1408
artiste,Q483501,archiviste,0.3646,activiste,0.3108,secouriste,0.2806
créateur ou créatrice de contenu,Q109459317,agent de,0.195,médiateur,0.1792,fondateur,0.1775
créateur ou créatrice numérique,Q111263847,relation publique,0.2451,médiateur,0.1919,fondateur,0.1901
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
rockeur,Q29017403,procureur,0.2864,acteur,0.1682,cultivateur / éleveur,0.1472
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
dansband musician,Q104224753,musicien,0.6893,aidant,0.0673,étudiant,0.0563
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
disco musician,Q104224860,musicien,0.7358,étudiant,0.0601,diplomate,0.0557
col blanc,Q255274,ancêtre,0.1428,écologiste,0.1218,comptable,0.102
photographe officiel,Q116586732,officier,0.5642,cartographe,0.5636,philosophe,0.1136
maître de chapelle,Q215793,agent de,0.2727,ancêtre,0.1959,manager,0.0856
militaire,Q47064,publicitaire,0.465,notaire,0.4127,secrétaire,0.328
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
éducateur ou éducatrice,Q974144,éditeur,0.2431,traducteur,0.1835,producteur,0.1817
fonctionnaire,Q212238,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
auteur ou autrice de non-fiction,Q15980158,auteur,0.7176,fonctionnaire,0.1634,relation publique,0.1513
librarians and related information professionals,Q108290372,informaticien,0.5086,relation publique,0.4277,réformateur,0.2464
scientifique de l'esprit,Q16727193,agent de,0.2607,relation publique,0.2534,client,0.1639
professeur d'art,Q15977927,investisseur,0.3719,précurseur,0.259,procureur,0.2223
instituteur ou institutrice,Q2251335,inspecteur,0.3086,auteur,0.2839,investisseur,0.1407
enseignant ou enseignante du secondaire,Q5758653,enseignant,0.915,infirmier / soignant,0.2495,secrétaire,0.1202
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
activité,Q1914636,activiste,0.7447,acteur,0.2396,acteurs sociaux,0.1239
victime,Q1851760,activiste,0.2082,fonctionnaire,0.1622,guerrier,0.0
fonction,Q4164871,fonctionnaire,0.671,relation publique,0.197,fondateur,0.1348
activité,Q12737077,activiste,0.7447,acteur,0.2396,acteurs sociaux,0.1239
travailleur qualifié ou travailleuse qualifiée,Q2588761,travailleur social,0.7801,traducteur,0.1122,transporteur,0.0938
ornithologue,Q1225716,psychologue,0.6971,écologiste,0.1366,guerrier,0.0514
théologien ou théologienne,Q1234713,écologiste,0.4405,psychologue,0.181,musicien,0.1043
vicaire,Q193364,notaire,0.4834,secrétaire,0.3842,partenaire,0.3802
prêtre catholique,Q250867,relation publique,0.321,ancêtre,0.296,psychologue,0.0789
head of a diocese,Q112074151,officier,0.169,diplomate,0.1491,guerrier,0.0
maître de cérémonie,Q497240,agent de,0.2883,ancêtre,0.207,témoin,0.0975
militant ou militante,Q15253558,consultant,0.2383,familier,0.2326,enfant,0.0938
militant ou militante,Q15253558,consultant,0.2383,familier,0.2326,enfant,0.0938
vocaliste,Q2643890,journaliste,0.4978,activiste,0.2121,avocat,0.2115
soliste,Q1371914,journaliste,0.4398,activiste,0.275,archiviste,0.2495
frontman,Q61045693,manager,0.149,amant/e,0.1482,frère/socur,0.1391
militant ou militante,Q15253558,consultant,0.2383,familier,0.2326,enfant,0.0938
régent ou régente,Q477406,agent de,0.4527,inventeur,0.1688,client,0.1517
professionnel ou professionnelle,Q702269,procureur,0.2189,producteur,0.2184,fonctionnaire,0.2022
fluid mechanist,Q109588238,mere,0.1568,mentor,0.1189,technicien,0.1126
membre,Q9200127,mere,0.3958,mentor,0.193,père,0.1415
commandant,Q2054507,aidant,0.4046,comptable,0.1924,consultant,0.1543
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
data professional,Q112598603,procureur,0.2182,producteur,0.2176,fondateur,0.0959
peintre,Q1028181,ancêtre,0.2667,entrepreneur,0.2507,mere,0.0778
agrochimiste,Q22809315,archiviste,0.3599,activiste,0.3067,secouriste,0.277
géochimiste,Q16335312,archiviste,0.4339,activiste,0.3698,secouriste,0.3339
scientifique des sols,Q12370538,relation publique,0.2774,client,0.1794,agent de,0.1324
officier supérieur,Q1053745,officier,0.9616,policier,0.3157,ouvrier,0.1322
profession,Q28640,procureur,0.2381,producteur,0.2375,relation publique,0.1975
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
service worker,Q16324756,secrétaire,0.1525,secouriste,0.1507,ouvrier,0.102
éducateur ou éducatrice,Q974144,éditeur,0.2431,traducteur,0.1835,producteur,0.1817
professeur de science,Q101445634,investisseur,0.3156,précurseur,0.2198,agent de,0.2139
confucianiste,Q9397505,activiste,0.2732,archiviste,0.2479,secouriste,0.2467
médecin,Q39631,médecin,1.0,médiateur,0.146,voisin,0.0457
organiste,Q765778,activiste,0.4206,archiviste,0.3816,secouriste,0.3798
musicien d'église,Q355493,musicien,0.9719,politicien,0.256,technicien,0.2471
reine douairière,Q718768,père,0.3611,notaire,0.1247,secrétaire,0.0992
reine,Q16511993,relation publique,0.1594,guerrier,0.0,législateur,0.0
commentateur sportif,Q2986228,spectateur,0.3576,transporteur,0.3348,médiateur,0.166
fabricant d'instruments de musique,Q1955150,musicien,0.3203,agent de,0.2327,relation publique,0.1991
parlementaire,Q486839,notaire,0.4379,partenaire,0.3947,secrétaire,0.3481
peintre en bâtiment,Q288728,entrepreneur,0.2476,mentor,0.2217,ancêtre,0.1798
artisan,Q1294787,archiviste,0.1227,investisseur,0.1106,partenaire,0.1022
directeur ou directrice,Q1162163,lecteur,0.4729,inspecteur,0.3673,acteur,0.2853
creative writing teacher,Q104824316,politicien,0.0953,technicien,0.0919,activiste,0.084
writing teacher,Q104248032,politicien,0.116,technicien,0.1119,guide spirituel,0.0902
professeur de science,Q101445634,investisseur,0.3156,précurseur,0.2198,agent de,0.2139
éducateur ou éducatrice,Q974144,éditeur,0.2431,traducteur,0.1835,producteur,0.1817
physiologiste,Q2055046,écologiste,0.7667,activiste,0.1967,archiviste,0.1785
zoologiste,Q350979,écologiste,0.7881,activiste,0.2022,archiviste,0.1834
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
personne,Q215627,fonctionnaire,0.1774,guerrier,0.0,traducteur,0.0
joueur de baseball,Q10871364,joueur,0.8453,agent de,0.1871,journaliste,0.118
directeur ou directrice,Q1162163,lecteur,0.4729,inspecteur,0.3673,acteur,0.2853
fonctionnaire,Q212238,fonctionnaire,1.0,partenaire,0.2162,notaire,0.1584
propriété,Q1400881,procureur,0.3517,producteur,0.3508,précurseur,0.0972
entité géographique artificielle,Q27096235,cartographe,0.3547,officier,0.2119,relation publique,0.1766
méthode,Q815844,agent de,0.1755,médiateur,0.1563,médecin,0.1557
special member functions,Q7574835,fonctionnaire,0.3098,spectateur,0.2522,travailleur social,0.1929
consultant ou consultante,Q15978655,consultant,0.9775,enfant,0.056,aidant,0.0554
ingénieur ou ingénieure,Q81096,inventeur,0.1874,inspecteur,0.1802,innovateur,0.1759
professeur de lycée,Q106392835,investisseur,0.3375,précurseur,0.235,agent de,0.2287
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
instituteur ou institutrice,Q2251335,inspecteur,0.3086,auteur,0.2839,investisseur,0.1407
scientifique,Q901,relation publique,0.3032,client,0.1961,musicien,0.1323
explorateur ou exploratrice,Q11900058,médiateur,0.2514,fondateur,0.249,spectateur,0.2344
pédagogue,Q1231865,psychologue,0.4409,guerrier,0.0813,relation publique,0.0559
agronome,Q1781198,agent de,0.2716,guerrier,0.0,frère/socur,0.0
direction générale,Q2563977,fonctionnaire,0.2977,relation publique,0.2483,bénévole,0.1138
éboueur ou éboueuse,Q1391360,joueur,0.677,ouvrier,0.0614,acteur,0.0521
haut fonctionnaire ou haute fonctionnaire,Q599151,fonctionnaire,0.9719,partenaire,0.2101,notaire,0.1539
profession,Q28640,procureur,0.2381,producteur,0.2375,relation publique,0.1975
agent de renseignement,Q392651,agent de,0.7085,enseignant,0.4423,client,0.1752
personnalité juridique,Q3778211,juré,0.2314,relation publique,0.2092,syndiqué,0.1438
joueur de baseball,Q10871364,joueur,0.8453,agent de,0.1871,journaliste,0.118
joueur de softball,Q13388586,joueur,0.8521,agent de,0.1886,journaliste,0.119
joueur ou joueuse,Q4197743,joueur,0.9533,journaliste,0.1563,ouvrier,0.0403
primary school teachers,Q108290347,technicien,0.1079,acteurs sociaux,0.0961,psychologue,0.0959
elementary school teacher,Q112282453,mentor,0.3032,technicien,0.0927,psychologue,0.0823
boucher ou bouchère,Q329737,père,0.4115,ouvrier,0.1889,mere,0.0831
interprète,Q3153559,inventeur,0.2592,hôte,0.1128,adulte,0.0876
